Pseudoword,Word,Lemma,prs,n_morphemes,Length
gnassa,massa,masser,"(0, 1, 0)",1,6
masqye,masque,masque,"(0, 1, 0)",1,6
ngarre,marre,marre,"(0, 1, 0)",1,6
malque,marque,marque,"(0, 1, 0)",1,6
malche,marche,marche,"(0, 1, 0)",1,6
manqwa,manqua,manquer,"(0, 1, 0)",1,6
magnie,manie,manie,"(0, 1, 0)",1,6
gnange,mange,manger,"(0, 1, 0)",1,6
magnge,magne,magner,"(0, 1, 0)",1,6
naculé,maculé,maculer,"(0, 1, 0)",1,6
carter,cartel,cartel,"(0, 1, 0)",1,6
carmet,carnet,carnet,"(0, 1, 0)",1,6
calême,carême,carême,"(0, 1, 0)",1,6
calats,carats,carats,"(0, 1, 0)",1,6
calafe,carafe,carafe,"(0, 1, 0)",1,6
canwon,canyon,canyon,"(0, 1, 0)",1,6
camton,canton,canton,"(0, 1, 0)",1,6
cagnot,canot,canot,"(0, 1, 0)",1,6
cangoë,canoë,canoë,"(0, 1, 0)",1,6
cangdi,candi,candi,"(0, 1, 0)",1,6
cancle,cancre,cancre,"(0, 1, 0)",1,6
mimute,minute,minute,"(0, 1, 0)",1,6
meugra,meugla,meugler,"(0, 1, 0)",1,6
mesule,mesure,mesure,"(0, 1, 0)",1,6
mélite,mérite,mérite,"(0, 1, 0)",1,6
ngerde,merde,merde,"(0, 1, 0)",1,6
nental,mental,mental,"(0, 1, 0)",1,6
médyse,méduse,méduse,"(0, 1, 0)",1,6
nuscle,muscle,muscle,"(0, 1, 0)",1,6
nguait,muait,muer,"(0, 1, 0)",1,6
noudre,moudre,moudre,"(0, 1, 0)",1,6
nouche,mouche,mouche,"(0, 1, 0)",1,6
noucha,moucha,moucher,"(0, 1, 0)",1,6
noteur,moteur,moteur,"(0, 1, 0)",1,6
morfré,morflé,morfler,"(0, 1, 0)",1,6
ngoisi,moisi,moisir,"(0, 1, 0)",1,6
ngoins,moins,moins,"(0, 1, 0)",1,6
modère,modèle,modèle,"(0, 1, 0)",1,6
gnites,mites,mites,"(0, 1, 0)",1,6
cancel,cancer,cancer,"(0, 1, 0)",1,6
canali,canari,canari,"(0, 1, 0)",1,6
canpus,campus,campus,"(0, 1, 0)",1,6
camela,camera,caméra,"(0, 1, 0)",1,6
câling,câlin,câlin,"(0, 1, 0)",1,6
carife,calife,calife,"(0, 1, 0)",1,6
carice,calice,calice,"(0, 1, 0)",1,6
carcul,calcul,calcul,"(0, 1, 0)",1,6
cahyte,cahute,cahute,"(0, 1, 0)",1,6
cahiel,cahier,cahier,"(0, 1, 0)",1,6
cafald,cafard,cafard,"(0, 1, 0)",1,6
cadeaw,cadeau,cadeau,"(0, 1, 0)",1,6
cactws,cactus,cactus,"(0, 1, 0)",1,6
câbres,câbles,câble,"(0, 1, 0)",1,6
cabang,caban,cabane,"(0, 1, 0)",1,6
butign,butin,butiner,"(0, 1, 0)",1,6
byreau,bureau,bureau,"(0, 1, 0)",1,6
bwnker,bunker,bunker,"(0, 1, 0)",1,6
byffle,buffle,buffle,"(0, 1, 0)",1,6
byffet,buffet,buffet,"(0, 1, 0)",1,6
bwdget,budget,budget,"(0, 1, 0)",1,6
ngiche,niche,niche,"(0, 1, 0)",1,6
nutile,mutile,mutiler,"(0, 1, 0)",1,6
gnusée,musée,musée,"(0, 1, 0)",1,6
blidge,bridge,bridge,"(0, 1, 0)",1,6
blevet,brevet,brevet,"(0, 1, 0)",1,6
blèche,brèche,brèche,"(0, 1, 0)",1,6
blebis,brebis,brebis,"(0, 1, 0)",1,6
bramdy,brandy,brandy,"(0, 1, 0)",1,6
boyayx,boyaux,boyaux,"(0, 1, 0)",1,6
palade,parade,parade,"(0, 1, 0)",1,6
pamsas,pansas,pansas,"(0, 1, 0)",1,6
owtres,outres,outres,"(0, 1, 0)",1,6
oewvre,oeuvre,oeuvre,"(0, 1, 0)",1,6
occwpa,occupa,occuper,"(0, 1, 0)",1,6
obrige,oblige,obliger,"(0, 1, 0)",1,6
boyrse,bourse,bourse,"(0, 1, 0)",1,6
bowrde,bourde,bourde,"(0, 1, 0)",1,6
bourot,boulot,boulot,"(0, 1, 0)",1,6
boygre,bougre,bougre,"(0, 1, 0)",1,6
bowgie,bougie,bougie,"(0, 1, 0)",1,6
boydin,boudin,boudin,"(0, 1, 0)",1,6
boycan,boucan,boucan,"(0, 1, 0)",1,6
bolgne,borgne,borgne,"(0, 1, 0)",1,6
bongne,bonne,bon,"(0, 1, 0)",1,6
boride,bolide,bolide,"(0, 1, 0)",1,6
boréro,boléro,boléro,"(0, 1, 0)",1,6
bohène,bohème,bohème,"(0, 1, 0)",1,6
blocys,blocus,blocus,"(0, 1, 0)",1,6
pirote,pilote,pilote,"(0, 1, 0)",1,6
pegnsa,pensa,penser,"(0, 1, 0)",1,6
perote,pelote,pelote,"(0, 1, 0)",1,6
perant,pelant,peler,"(0, 1, 0)",1,6
peigme,peigne,peigne,"(0, 1, 0)",1,6
pédare,pédale,pédale,"(0, 1, 0)",1,6
péchel,pécher,pécher,"(0, 1, 0)",1,6
paysam,paysan,paysan,"(0, 1, 0)",1,6
plêter,prêter,prêter,"(0, 1, 0)",1,6
plêtée,prêtée,prêtée,"(0, 1, 0)",1,6
plessa,pressa,presser,"(0, 1, 0)",1,6
