cond,hasStar,rest,stim
body,0,6000,16 19 15 08 13 01 03 02 04 06 10 11 18 20 07 05 17 09 14 12
face,0,6000,07 02 15 05 08 06 19 16 03 14 17 13 10 01 12 20 18 11 04 09
tool,0,4000,14 06 19 15 13 03 17 07 08 04 20 02 10 11 16 05 18 01 12 09
face,0,8000,19 02 11 16 20 04 05 15 07 18 01 17 14 10 06 12 08 03 13 09
number,1,6000,11 16 06 13 18 03 19 02 05 12 14 10 04 15 07 17 20 08 09 00
house,0,6000,06 07 08 16 13 19 15 18 14 05 02 17 03 12 04 09 01 20 11 10
wordC,0,4000,17 03 19 20 08 07 16 01 05 18 10 15 09 02 11 14 13 12 06 04
wordEF,1,8000,15 08 06 17 03 10 02 20 04 14 09 16 07 11 13 05 01 18 00 12
face,1,4000,12 03 13 18 14 08 02 01 19 10 16 11 05 17 09 00 20 04 15 06
wordEF,1,6000,17 19 04 15 09 02 12 13 03 18 00 06 08 16 01 14 20 10 07 05
house,1,6000,14 07 06 19 10 09 03 15 16 05 17 13 04 02 18 11 08 20 00 12
wordEF,0,8000,07 12 14 04 15 20 19 13 10 03 16 02 11 06 09 18 05 08 17 01
number,1,4000,13 06 14 20 04 05 15 16 19 11 18 01 17 00 02 08 12 09 10 07
tool,0,4000,06 18 09 14 13 05 20 01 04 16 02 15 03 12 08 10 19 11 17 07
body,1,8000,05 12 19 16 01 15 00 13 08 02 20 18 11 10 14 09 17 06 03 07
wordEF,0,4000,10 08 17 11 03 14 07 20 01 12 15 16 19 02 18 13 09 04 05 06
wordC,1,8000,08 10 20 11 05 16 04 02 17 00 14 01 18 09 15 03 06 13 19 07
tool,0,6000,15 13 01 11 10 04 09 14 02 07 19 06 18 08 03 12 16 17 20 05
wordC,0,4000,01 10 14 20 17 19 16 03 12 02 05 18 13 08 15 09 06 07 11 04
body,0,8000,02 15 04 12 11 05 08 14 09 19 18 07 16 20 01 06 13 03 10 17
face,0,4000,07 09 08 12 05 02 15 11 04 18 03 06 14 13 20 01 10 19 16 17
house,0,8000,17 12 15 03 18 20 10 11 01 09 19 13 16 08 02 14 07 06 05 04
body,1,4000,08 11 20 02 03 10 01 00 19 18 16 15 12 07 17 06 04 13 05 14
number,0,4000,09 16 13 12 20 02 06 19 14 10 11 15 01 03 18 08 05 04 07 17
house,0,6000,11 15 20 16 13 18 02 04 08 12 10 14 05 09 07 01 06 03 19 17
tool,0,6000,17 20 06 15 10 16 11 18 19 14 07 12 04 09 13 02 03 01 05 08
house,0,6000,14 03 05 08 10 15 04 01 06 07 20 17 18 16 09 11 12 02 13 19
body,0,6000,08 20 17 15 06 09 05 16 14 13 10 18 19 04 03 07 01 12 11 02
emoji,1,4000,04 02 12 05 18 16 15 17 13 20 10 01 14 19 07 08 09 00 03 06
wordC,0,4000,13 17 02 09 01 19 20 12 16 10 07 04 14 08 05 18 15 06 03 11
emoji,0,6000,03 09 07 02 20 18 15 10 13 01 05 12 19 14 06 11 17 16 08 04
wordC,0,4000,13 14 12 06 18 09 20 01 17 08 03 07 02 16 15 11 05 04 19 10
number,0,4000,15 18 13 14 16 06 20 07 08 19 11 12 04 05 09 01 02 17 03 10
number,1,6000,02 07 10 03 16 18 14 04 15 06 12 09 17 19 08 11 13 01 20 00
face,1,6000,03 12 14 13 11 04 17 16 08 10 18 19 09 20 15 01 07 00 06 05
emoji,1,6000,04 19 10 13 16 11 03 18 06 12 00 02 17 01 08 20 09 05 07 15
emoji,1,8000,14 06 18 03 01 07 02 12 09 05 19 20 08 04 15 13 10 16 00 11
tool,0,8000,11 20 14 05 04 06 01 08 13 17 12 10 02 18 03 07 19 15 16 09
number,0,4000,16 20 01 12 13 05 14 09 18 02 04 03 06 08 07 19 11 17 10 15
emoji,0,8000,12 17 20 10 14 08 01 06 03 04 13 15 09 02 16 07 19 11 18 05
tool,0,6000,09 16 08 17 07 11 15 20 12 10 13 06 01 18 19 03 02 05 14 04
wordEF,0,6000,11 20 05 10 12 14 17 04 18 06 09 19 02 08 13 15 16 01 07 03
house,1,4000,08 13 11 12 20 15 03 05 07 16 19 09 01 14 00 18 06 17 10 02
wordC,1,8000,09 14 10 06 19 08 01 18 15 04 12 05 07 16 13 00 17 20 03 11
emoji,0,4000,05 09 04 13 10 16 14 18 03 20 02 11 07 17 06 01 15 08 12 19
wordEF,0,8000,17 08 07 06 05 14 03 10 11 09 12 01 16 15 19 18 20 02 13 04
body,0,4000,04 07 17 12 18 14 09 01 20 11 16 19 15 08 13 10 05 03 06 02
face,0,6000,12 02 06 18 01 16 05 13 20 15 17 14 09 10 08 07 03 11 19 04
