cond,hasStar,rest,stim
number,0,6000,16 11 20 02 08 13 03 07 06 09 17 01 05 18 04 10 14 15 12 19
emoji,1,6000,20 07 19 06 14 18 13 10 00 08 05 11 17 01 12 16 15 02 03 09
wordC,1,8000,04 14 15 07 12 05 18 19 06 02 20 10 00 16 11 09 08 03 17 01
tool,0,6000,03 10 11 12 01 16 19 05 04 17 13 15 20 18 07 02 14 08 06 09
wordC,0,4000,15 09 20 03 06 16 19 10 01 12 08 04 07 18 05 13 02 14 17 11
house,1,4000,04 20 07 19 11 05 08 15 10 14 01 06 02 00 13 03 09 16 12 17
face,0,4000,11 04 07 13 08 18 15 06 10 03 16 05 09 14 19 12 02 17 20 01
wordEF,0,6000,18 15 12 04 17 05 19 03 13 01 20 09 02 10 08 06 14 07 16 11
body,1,6000,05 04 16 13 06 11 19 12 03 15 09 02 08 20 18 07 00 01 17 14
face,0,4000,02 08 14 10 01 16 06 03 11 20 13 04 17 07 15 09 12 18 05 19
number,0,4000,20 01 17 07 16 14 08 13 02 06 09 18 19 15 05 04 12 10 11 03
wordEF,1,4000,02 08 01 03 09 13 18 19 11 20 00 04 07 17 10 16 14 12 06 15
house,1,6000,01 09 13 03 11 19 14 08 05 16 15 06 07 04 00 12 02 10 18 17
tool,0,6000,20 16 19 14 12 06 17 05 11 10 03 09 18 15 13 02 07 01 04 08
house,0,6000,05 01 07 06 14 04 09 16 19 08 03 15 18 17 12 20 13 10 02 11
wordEF,0,4000,17 03 10 04 06 02 15 09 12 18 07 11 19 14 05 13 08 01 20 16
wordC,0,4000,17 04 02 12 05 07 06 03 01 15 11 20 08 10 16 19 14 13 09 18
tool,1,8000,16 08 18 20 13 11 04 19 17 00 12 03 07 06 15 09 05 01 14 02
face,1,6000,05 03 16 06 19 04 17 12 14 08 00 13 02 09 20 01 11 15 18 07
body,0,4000,08 09 03 20 05 04 01 16 18 10 06 11 15 14 19 17 13 02 07 12
wordEF,1,4000,03 01 19 08 13 20 16 14 11 06 12 18 15 07 17 02 09 00 10 05
body,0,4000,10 08 19 13 15 07 05 14 04 01 18 11 09 17 03 02 12 16 06 20
emoji,0,8000,13 02 04 03 09 19 10 15 16 06 05 17 11 01 18 08 20 07 14 12
face,0,8000,02 12 15 20 14 07 01 03 10 19 17 18 08 05 06 13 09 04 11 16
body,0,6000,05 09 20 01 12 18 15 14 16 17 04 19 13 08 03 10 07 06 11 02
emoji,0,8000,17 12 13 08 01 04 03 02 18 11 19 16 06 15 10 14 05 07 09 20
body,1,8000,01 06 02 13 09 19 11 14 05 03 04 00 17 07 12 20 08 18 16 15
number,0,8000,20 07 09 14 19 02 06 01 10 03 16 18 08 13 15 11 12 17 05 04
wordEF,0,4000,08 07 03 15 10 09 14 05 18 17 04 16 20 01 02 19 12 13 06 11
tool,0,4000,20 17 07 16 03 01 09 10 04 06 13 14 02 11 15 19 12 08 18 05
number,0,8000,14 19 03 05 18 06 17 10 16 15 04 09 12 11 13 01 20 08 07 02
emoji,1,6000,11 16 19 06 12 15 03 13 00 09 18 07 17 08 20 01 02 10 05 04
wordC,1,6000,10 14 05 20 02 04 07 16 19 00 15 08 03 17 18 06 12 13 09 11
wordC,1,4000,14 17 06 01 20 07 05 12 00 08 11 03 02 13 09 18 15 10 19 04
number,0,8000,09 03 05 04 06 20 02 08 13 16 07 12 10 01 15 17 19 14 11 18
face,0,6000,16 08 07 09 10 03 19 13 15 06 18 04 12 05 02 20 14 17 11 01
face,0,6000,08 11 12 16 19 20 05 15 17 09 01 18 03 07 04 06 13 10 14 02
emoji,0,8000,02 11 10 13 08 07 20 15 04 09 14 03 12 06 16 19 18 05 01 17
tool,0,8000,16 07 20 10 13 02 04 18 09 05 08 03 06 17 11 12 15 01 14 19
body,0,4000,20 06 03 01 08 13 09 11 15 12 02 10 07 19 18 16 14 17 04 05
tool,0,4000,01 11 12 14 03 20 07 06 13 02 04 10 09 15 05 19 17 08 18 16
house,0,6000,01 18 07 06 03 02 16 12 20 17 08 13 14 05 09 11 04 19 10 15
house,0,4000,02 11 19 14 05 18 17 16 07 06 10 15 09 12 08 13 04 20 01 03
number,0,6000,01 09 06 19 14 12 07 20 03 08 10 15 13 18 11 02 04 17 16 05
emoji,1,8000,01 12 09 16 02 10 18 13 08 05 07 14 17 19 15 20 06 04 00 03
wordEF,0,4000,04 13 12 11 18 01 17 15 19 02 07 16 06 10 05 14 08 20 09 03
wordC,1,6000,01 03 14 08 10 20 15 11 17 02 07 19 12 06 04 05 00 18 13 09
house,1,6000,06 04 08 02 14 18 15 01 07 19 20 10 13 16 11 12 09 00 05 03
