cond,hasStar,rest,stim
number,0,4000,14 19 13 08 20 18 09 01 05 17 16 15 07 11 12 03 04 10 02 06
tool,1,4000,18 03 16 15 05 19 02 12 14 06 04 07 00 01 17 13 10 08 11 20
body,0,4000,20 15 16 18 06 13 09 05 08 12 01 19 14 03 11 10 07 02 04 17
wordC,1,4000,01 12 17 03 15 13 06 20 19 02 14 09 00 04 18 07 16 11 10 05
wordEF,0,6000,01 16 08 19 12 02 06 10 13 03 14 07 20 18 17 05 15 11 04 09
body,0,6000,14 04 10 19 15 16 01 20 12 08 02 17 05 18 13 06 07 03 09 11
wordEF,0,6000,10 18 04 13 16 09 15 03 06 17 20 02 12 11 14 05 01 07 19 08
emoji,1,6000,10 14 04 12 03 00 02 07 18 20 16 13 05 08 06 19 09 17 01 15
wordC,0,6000,09 01 03 04 20 12 14 11 02 08 13 10 06 17 16 19 15 18 05 07
face,0,8000,04 02 01 06 18 19 15 03 11 10 13 08 09 07 17 14 12 05 20 16
wordEF,0,8000,03 04 14 19 12 10 02 17 16 07 11 18 09 15 05 01 08 13 20 06
face,1,4000,18 14 09 06 02 03 11 05 00 20 16 13 08 12 01 19 15 17 04 10
body,1,4000,19 08 01 02 05 20 06 07 14 03 11 00 10 09 13 17 16 18 15 12
house,1,4000,05 03 19 08 02 07 00 18 01 15 04 13 12 10 11 06 09 20 14 16
wordC,0,4000,11 13 04 12 14 18 19 16 02 07 06 09 10 08 17 20 15 03 01 05
emoji,0,4000,15 07 18 09 05 19 04 02 12 01 03 13 11 06 16 08 10 14 17 20
wordEF,0,8000,06 01 09 08 03 13 19 12 20 17 02 04 14 11 10 16 07 18 15 05
number,0,6000,08 14 16 02 10 06 01 17 18 05 13 12 19 03 15 11 20 09 07 04
tool,0,4000,11 12 20 18 15 17 16 01 19 04 13 05 10 06 07 02 14 03 09 08
number,0,6000,03 14 13 06 08 04 17 10 18 01 20 12 07 09 11 05 16 02 15 19
body,0,4000,19 18 04 14 15 02 20 10 09 16 17 05 12 03 08 06 07 01 13 11
house,1,8000,17 06 18 12 01 15 07 20 08 04 05 13 11 09 03 02 00 10 19 14
body,0,4000,15 05 01 06 13 20 02 19 10 17 12 09 11 14 04 07 03 16 08 18
tool,0,8000,17 14 01 06 09 03 13 11 18 04 10 15 02 12 19 20 05 16 07 08
number,1,6000,07 15 03 20 01 06 16 19 02 12 11 00 18 13 05 09 08 17 14 10
wordC,0,6000,11 07 18 13 05 14 03 16 08 12 20 02 09 01 15 10 06 19 17 04
emoji,0,6000,06 17 07 04 09 08 02 01 19 15 18 11 03 10 20 12 13 05 16 14
face,0,6000,16 13 04 14 05 07 19 15 17 12 03 11 01 09 08 10 06 02 20 18
tool,1,8000,14 10 02 20 11 08 19 15 00 05 07 06 04 17 01 09 18 03 13 16
wordEF,1,6000,09 18 10 08 16 12 14 13 17 00 04 19 01 07 02 11 05 20 03 15
wordEF,0,8000,20 08 03 19 12 18 06 13 16 04 01 05 07 02 09 10 17 14 11 15
house,1,4000,05 12 07 20 17 14 04 13 03 09 00 01 19 16 11 02 15 06 18 08
face,1,6000,11 13 18 17 09 06 10 15 12 04 00 05 08 19 01 20 03 02 07 14
emoji,0,8000,06 08 13 15 05 14 16 02 18 11 17 20 04 12 03 01 10 09 07 19
tool,0,4000,10 17 05 14 12 18 15 01 04 11 07 20 09 03 13 06 16 19 08 02
house,0,4000,13 19 08 14 18 17 20 12 02 10 01 15 16 07 11 05 09 04 03 06
number,0,4000,08 09 12 14 19 05 16 18 10 01 02 15 13 03 04 11 07 17 06 20
face,1,6000,12 10 09 20 07 01 04 03 08 02 18 14 15 16 19 00 17 05 06 11
wordC,0,6000,03 07 15 14 09 13 16 12 20 18 02 04 11 06 19 05 10 08 01 17
wordC,1,8000,14 19 12 11 20 00 09 16 17 05 02 01 15 07 13 06 03 08 18 04
tool,0,8000,13 19 07 20 17 03 16 01 09 15 11 14 02 08 04 18 10 12 05 06
number,1,6000,10 07 02 08 03 20 16 12 11 09 18 01 17 00 04 15 06 14 05 13
body,0,6000,15 11 06 08 09 17 07 03 04 02 19 13 10 16 05 14 18 01 20 12
emoji,0,4000,01 19 16 14 11 04 18 17 13 15 06 07 03 10 08 12 09 05 02 20
house,0,8000,07 11 01 12 19 15 06 18 03 02 16 04 08 05 20 10 17 09 13 14
house,0,4000,13 04 07 02 19 16 01 03 12 10 17 08 20 14 06 05 09 15 11 18
emoji,1,8000,01 13 12 18 11 16 17 08 19 15 02 07 14 20 10 06 00 05 03 09
face,0,6000,08 11 17 03 13 12 20 19 05 02 07 14 15 10 16 04 18 09 06 01
