cond,hasStar,rest,stim
house,0,8000,17 05 11 07 10 12 04 16 03 02 20 18 13 01 09 08 19 14 15 06
emoji,0,8000,08 20 14 06 10 15 18 17 13 03 12 16 09 19 01 05 04 07 02 11
body,1,4000,19 02 04 11 16 05 06 00 17 15 12 13 14 01 10 18 09 03 08 20
house,0,6000,13 17 08 04 09 01 16 10 12 11 02 06 05 18 03 07 14 15 20 19
body,0,4000,11 10 15 13 01 12 14 04 03 02 19 17 08 16 20 07 18 09 05 06
tool,0,4000,20 08 17 16 07 15 12 02 13 11 19 05 14 18 10 04 06 03 01 09
body,1,6000,06 09 08 20 05 03 00 18 14 07 02 15 11 17 12 10 16 19 01 13
number,0,8000,02 20 04 01 11 06 17 09 13 18 03 14 12 10 19 15 08 16 07 05
number,1,4000,06 14 17 12 04 10 11 07 02 05 20 00 15 09 08 19 13 03 01 18
number,0,8000,20 16 02 10 17 15 19 18 11 01 12 13 03 07 06 05 14 04 08 09
tool,1,4000,05 15 08 20 12 01 11 06 18 07 04 03 10 13 19 09 14 00 17 16
house,0,4000,15 03 04 14 12 18 08 05 02 20 19 07 06 11 13 16 17 10 01 09
emoji,1,4000,12 07 03 01 05 17 15 08 18 13 14 09 16 10 02 20 06 04 19 00
wordEF,0,8000,03 14 11 08 16 17 02 04 13 07 15 09 20 10 05 18 12 01 19 06
face,0,6000,08 12 01 16 18 07 14 10 09 05 19 04 20 02 17 03 13 06 11 15
body,0,8000,20 02 03 07 16 08 18 01 13 19 06 10 12 05 15 04 14 17 11 09
house,0,8000,14 01 16 05 09 18 13 07 15 03 08 06 17 10 04 02 20 11 19 12
wordC,0,6000,17 12 20 13 05 06 16 11 10 19 07 03 01 15 14 09 02 18 04 08
emoji,0,8000,12 10 16 13 07 14 08 01 17 05 19 15 03 04 11 18 06 20 09 02
number,0,6000,09 12 20 01 15 10 18 05 04 08 03 02 13 16 07 17 06 19 11 14
face,1,4000,05 16 04 17 12 01 03 02 08 11 13 14 06 09 10 18 07 19 15 00
body,0,4000,10 02 19 03 14 12 15 16 17 11 04 06 09 07 20 08 05 13 01 18
wordEF,0,6000,01 20 16 04 11 07 10 13 08 09 12 05 14 03 17 15 19 06 18 02
house,0,6000,19 16 13 20 05 01 11 06 12 07 04 02 14 08 17 15 09 10 18 03
emoji,1,8000,10 12 18 09 17 03 14 16 08 01 20 05 02 11 04 00 06 15 13 19
wordEF,1,6000,20 16 01 18 14 17 07 06 04 15 11 09 00 05 10 13 12 02 19 08
wordEF,0,6000,07 18 12 05 11 01 02 10 09 13 20 04 08 14 06 03 15 19 16 17
tool,0,6000,05 16 08 07 14 17 15 06 02 13 01 20 09 04 10 19 18 03 12 11
emoji,1,4000,05 19 10 18 15 09 01 13 12 16 02 14 04 03 17 06 07 11 20 00
number,1,6000,17 02 11 13 18 16 12 08 09 19 06 10 07 15 01 20 05 00 03 04
tool,0,4000,02 08 19 16 17 05 14 03 11 15 13 04 12 20 06 07 10 01 18 09
face,1,6000,20 13 12 08 15 11 06 03 19 04 18 10 17 02 09 05 01 07 16 00
tool,0,4000,03 14 20 08 18 13 06 15 17 10 07 05 02 01 12 09 16 11 04 19
house,0,6000,15 04 02 14 05 10 03 17 08 11 19 18 13 12 09 06 20 16 07 01
tool,1,8000,04 01 09 03 18 07 06 02 13 19 12 17 11 10 16 05 15 08 20 00
face,0,6000,15 04 16 05 03 20 10 12 08 13 01 02 09 14 19 17 18 11 07 06
number,0,8000,01 11 14 07 03 15 09 05 20 17 13 06 04 08 10 18 16 12 19 02
wordEF,1,6000,08 12 14 02 18 06 03 17 15 07 04 11 05 13 20 16 10 09 01 00
face,0,6000,20 03 08 01 04 11 06 17 15 10 07 18 19 09 14 12 05 02 16 13
wordC,1,4000,07 19 01 11 15 03 13 04 05 02 09 00 08 10 16 06 18 17 14 12
wordC,0,4000,06 04 09 08 15 10 05 18 12 07 20 14 03 01 02 16 11 19 17 13
wordEF,1,4000,16 10 09 11 13 06 07 04 00 05 18 20 08 17 15 02 14 01 19 12
wordC,0,4000,16 20 07 01 17 11 05 04 10 02 12 03 19 06 09 13 18 14 08 15
wordC,0,4000,18 06 15 01 08 02 11 03 13 12 05 16 04 14 19 09 20 17 07 10
face,1,6000,10 08 06 01 03 19 07 18 20 15 12 13 11 05 16 00 04 02 14 17
emoji,0,8000,11 12 19 16 02 03 18 06 05 07 08 14 10 15 20 04 17 01 09 13
body,0,4000,09 03 20 14 11 02 16 07 13 17 10 15 05 12 19 08 04 06 01 18
wordC,0,6000,20 19 02 16 10 08 12 15 07 14 18 03 09 17 11 05 06 01 13 04
