cond,hasStar,rest,stim
wordC,0,8000,17 01 08 15 16 07 13 05 06 20 11 19 12 04 03 10 14 02 09 18
wordC,0,4000,15 13 10 18 05 01 14 03 06 19 12 04 16 17 02 09 11 08 07 20
wordEF,0,6000,16 12 01 03 07 15 04 08 10 02 11 14 05 17 20 06 09 13 18 19
wordC,1,8000,13 14 05 03 20 11 18 08 00 15 02 12 10 17 09 01 16 07 19 04
body,0,4000,10 16 20 07 09 01 18 03 11 15 13 19 06 08 04 17 12 05 02 14
tool,1,6000,19 07 02 16 14 17 08 03 10 11 20 05 13 09 18 00 06 04 12 15
emoji,0,8000,18 04 20 10 12 17 08 03 14 15 05 11 09 19 06 07 16 01 13 02
emoji,0,8000,02 04 20 13 09 16 18 12 10 14 01 06 03 19 08 17 07 05 11 15
number,0,4000,17 11 08 20 19 14 10 18 02 15 06 01 09 04 13 12 05 16 07 03
wordEF,0,4000,03 09 01 11 08 17 14 12 05 18 16 10 15 13 02 07 20 04 06 19
number,1,6000,19 12 17 05 11 16 07 03 15 02 20 06 08 00 01 13 04 10 14 18
emoji,0,4000,05 20 09 15 19 03 10 04 02 11 12 17 08 18 06 16 07 01 13 14
wordEF,0,4000,15 14 19 02 10 20 16 04 07 13 05 09 12 11 08 17 01 03 06 18
emoji,1,8000,01 02 06 19 03 14 07 12 18 10 20 00 05 08 13 11 15 16 04 09
face,0,4000,11 07 15 06 12 02 14 09 13 05 19 04 20 18 17 10 01 16 08 03
tool,0,6000,17 09 18 07 03 14 10 08 05 15 01 11 13 20 06 12 02 16 19 04
wordEF,0,4000,18 17 12 15 07 16 02 01 03 10 13 14 09 20 04 06 19 05 08 11
face,0,4000,06 02 16 03 19 01 17 20 14 13 11 08 10 04 15 12 18 07 05 09
body,1,4000,04 05 10 03 19 18 20 06 00 08 13 14 12 01 02 15 11 17 09 07
tool,0,8000,10 18 14 13 04 19 15 06 08 17 03 02 16 05 11 12 01 20 07 09
face,1,6000,02 08 17 18 04 06 11 01 10 03 09 19 12 07 00 15 14 20 05 16
number,0,4000,16 02 17 09 10 15 03 12 19 18 13 04 08 11 14 07 06 01 05 20
wordEF,0,4000,08 19 04 05 07 11 18 12 01 10 14 17 13 16 03 06 09 02 20 15
tool,0,6000,04 03 08 01 12 20 07 06 15 11 05 19 18 14 13 10 02 17 16 09
house,1,4000,04 02 12 20 09 07 00 13 14 06 11 19 05 08 10 15 03 18 17 01
body,0,6000,07 20 19 15 01 04 16 17 18 05 08 11 10 12 13 02 06 03 14 09
wordC,0,8000,13 11 20 02 09 15 18 01 14 08 07 04 03 05 06 19 16 10 17 12
body,0,6000,14 20 11 10 09 05 08 04 15 06 01 16 18 17 12 03 19 13 07 02
house,0,4000,11 14 18 02 10 17 04 06 08 05 16 01 13 07 15 12 20 19 09 03
house,1,6000,20 01 08 02 11 00 18 10 14 13 04 15 05 12 06 17 09 03 19 07
number,0,8000,15 12 11 04 18 02 13 16 05 07 08 19 03 06 17 14 09 01 10 20
wordEF,1,8000,10 05 12 16 14 02 20 07 17 00 06 13 04 01 18 19 03 11 15 08
tool,0,8000,06 17 16 15 10 09 03 05 13 04 12 19 07 14 02 08 01 18 20 11
face,1,6000,07 14 15 06 13 11 02 19 04 16 05 08 03 12 17 18 00 09 01 20
house,0,4000,15 07 16 01 19 02 09 20 08 13 10 06 03 04 17 12 11 05 18 14
house,0,6000,09 03 16 08 14 01 18 04 20 05 02 19 07 17 11 13 06 10 15 12
face,0,6000,19 02 06 10 18 16 08 11 14 17 15 13 07 20 12 09 03 04 01 05
tool,0,6000,06 10 12 07 13 11 14 09 08 01 17 02 20 15 19 16 04 03 18 05
emoji,1,6000,07 10 17 20 06 03 15 04 19 02 11 05 14 00 13 01 16 08 18 09
body,1,6000,14 11 13 12 17 05 02 09 06 18 19 08 03 16 04 00 20 07 10 15
wordC,1,8000,16 04 12 20 06 07 14 05 08 09 15 18 00 10 11 13 17 01 03 02
emoji,1,4000,03 13 08 16 18 15 20 12 09 10 00 06 19 14 02 11 04 07 05 17
number,0,8000,18 09 07 06 05 15 01 11 19 02 20 04 03 10 12 17 14 08 13 16
number,1,6000,11 20 16 02 17 00 18 15 03 01 09 07 06 08 19 04 13 10 14 05
face,1,4000,19 05 11 12 15 13 20 06 10 08 02 03 07 01 14 18 04 00 16 09
body,0,4000,19 15 20 10 17 11 09 07 14 08 03 13 05 06 18 12 02 01 16 04
wordC,0,6000,08 11 06 05 07 17 03 14 18 09 13 02 10 20 16 19 01 12 04 15
house,0,6000,14 20 02 07 03 16 11 10 05 19 13 12 09 08 17 04 06 15 01 18
