cond,hasStar,rest,stim
wordC,1,8000,03 20 16 10 01 00 17 05 18 11 14 08 09 07 19 02 12 13 04 06
body,1,4000,07 04 08 18 11 20 16 14 19 02 12 15 06 09 13 10 03 00 17 01
wordEF,0,6000,09 07 13 08 12 16 18 02 15 10 03 14 06 19 17 20 01 05 04 11
emoji,0,6000,07 18 20 14 17 11 10 02 05 06 04 16 08 19 13 01 09 15 03 12
wordC,0,4000,02 09 18 04 16 06 20 15 10 17 13 07 19 05 01 08 12 11 14 03
face,1,8000,01 14 17 09 12 20 19 13 18 02 04 10 07 08 03 00 05 15 16 11
emoji,0,4000,06 02 15 19 11 18 05 16 07 20 04 12 14 09 13 10 17 03 08 01
emoji,0,4000,18 08 09 06 01 02 17 14 13 03 19 07 16 04 10 15 12 05 11 20
wordEF,0,8000,08 15 13 05 11 18 07 10 14 12 04 19 03 01 17 02 09 20 16 06
house,0,8000,09 15 13 12 05 04 02 17 08 19 10 07 14 06 11 20 01 18 03 16
wordC,0,8000,06 16 15 07 18 17 14 05 09 12 04 19 08 13 03 10 01 20 11 02
tool,1,4000,13 10 08 14 12 03 06 11 18 15 05 04 16 09 20 07 00 19 17 02
face,0,6000,02 20 12 01 11 09 10 18 13 03 06 19 17 14 04 07 15 08 16 05
wordEF,0,6000,09 16 13 14 04 05 15 12 02 20 06 17 18 03 19 10 07 11 08 01
tool,0,8000,06 19 13 17 02 16 11 12 14 08 18 04 09 03 10 15 07 01 20 05
emoji,0,4000,18 06 20 08 12 02 05 17 03 19 09 11 14 04 13 01 16 10 07 15
face,0,6000,10 09 14 15 13 04 08 17 03 20 18 05 02 06 19 16 01 07 12 11
wordC,1,6000,05 12 10 07 03 01 04 13 02 06 16 18 19 11 20 00 17 09 15 08
tool,0,6000,05 06 01 03 16 10 13 18 02 09 12 17 07 15 19 11 14 08 20 04
house,0,4000,01 10 11 15 14 07 08 06 03 13 04 18 09 16 12 02 05 20 17 19
tool,0,4000,12 03 16 15 08 10 17 20 04 19 05 13 01 14 09 02 07 11 18 06
emoji,0,6000,11 10 05 12 08 01 14 09 16 19 15 02 03 04 17 07 20 13 06 18
body,0,6000,09 01 10 03 16 14 19 06 04 07 08 18 17 20 13 11 15 05 02 12
house,0,6000,11 03 07 13 05 14 09 10 20 17 19 12 16 02 06 18 15 04 01 08
number,1,6000,02 01 16 04 06 03 19 20 17 08 13 12 18 07 14 00 09 10 15 11
wordEF,0,4000,11 05 07 14 20 09 12 17 19 08 04 06 16 03 02 13 15 01 18 10
house,1,4000,20 14 01 12 06 04 16 18 11 13 17 15 02 19 05 08 00 03 10 09
wordEF,1,4000,15 16 18 06 12 02 13 10 19 07 04 00 14 09 03 20 11 08 01 17
body,1,8000,20 10 05 06 02 15 12 09 13 17 16 04 08 18 07 11 01 00 14 19
body,0,6000,05 02 10 15 07 16 14 19 18 11 12 17 01 09 03 13 04 20 08 06
number,0,4000,11 13 15 09 03 20 02 01 10 08 18 17 12 14 07 16 19 06 04 05
house,0,6000,03 16 02 15 06 04 13 18 01 07 10 08 14 20 12 11 19 17 05 09
wordC,1,8000,09 08 20 14 19 16 00 13 10 15 12 07 02 17 11 05 04 06 18 01
number,0,8000,05 07 12 10 02 19 16 17 04 06 13 11 01 18 08 14 09 15 20 03
house,0,4000,18 08 09 06 01 16 14 19 05 17 10 04 13 20 02 07 03 12 15 11
face,0,4000,15 09 01 04 13 05 14 16 06 10 12 19 18 02 20 11 08 03 17 07
number,0,4000,10 12 09 03 11 01 19 16 13 06 17 02 20 07 18 14 08 04 05 15
wordEF,0,6000,19 02 17 11 04 10 03 07 09 06 08 20 16 18 15 05 14 01 12 13
number,1,8000,15 17 06 12 05 01 00 14 13 19 02 18 09 07 11 03 04 20 08 10
wordC,0,4000,20 18 13 14 07 02 08 19 06 12 04 05 15 09 11 16 03 17 10 01
emoji,1,6000,09 16 13 12 07 01 02 00 10 06 08 19 11 04 20 17 03 18 15 14
face,0,8000,04 17 16 09 10 14 06 20 05 18 07 08 02 12 01 13 15 03 19 11
tool,0,4000,12 07 04 14 02 06 09 13 11 18 15 05 20 19 10 03 08 01 17 16
body,1,6000,16 10 12 01 19 07 15 05 04 17 13 11 09 14 08 00 18 03 20 06
body,1,6000,13 09 08 07 17 19 06 18 03 00 01 10 14 04 15 02 11 12 20 16
number,1,8000,09 04 20 07 11 17 00 03 06 15 05 01 02 16 08 19 18 14 12 13
tool,0,4000,04 08 06 05 12 01 19 14 17 11 13 07 10 15 20 18 09 16 03 02
face,1,6000,03 12 07 17 02 06 09 10 19 05 04 01 11 13 16 14 08 18 00 20
