cond,hasStar,rest,stim
wordC,0,4000,02 01 16 15 14 19 12 18 05 10 07 03 13 09 11 04 06 17 08 20
house,0,8000,20 17 13 10 03 16 02 06 09 04 07 15 01 08 14 12 19 11 05 18
emoji,0,4000,05 06 14 13 02 07 09 08 04 10 15 17 19 20 01 18 12 16 03 11
tool,0,4000,17 19 02 18 12 08 06 13 20 11 15 09 10 03 16 01 05 14 04 07
number,1,6000,11 01 08 19 18 03 13 12 00 04 17 02 05 07 20 06 10 15 14 09
emoji,1,4000,11 10 12 07 14 00 17 13 19 16 15 09 18 06 03 01 02 04 08 05
wordEF,0,8000,03 07 16 17 14 08 02 18 12 06 10 01 13 11 15 19 09 20 05 04
wordEF,0,6000,20 02 15 03 09 18 08 05 16 13 11 14 04 19 10 01 12 06 07 17
number,0,4000,09 15 11 13 07 20 12 18 17 08 05 10 01 19 14 04 16 03 02 06
wordEF,1,4000,15 11 07 16 06 04 00 18 01 08 14 05 09 13 19 12 02 10 03 17
emoji,1,4000,14 12 04 09 20 18 02 10 03 15 13 06 07 01 19 08 00 11 17 05
body,1,6000,20 18 13 12 04 00 01 05 19 11 06 16 08 14 10 15 09 07 03 02
face,1,4000,08 05 02 01 15 12 18 07 09 04 06 19 00 16 10 13 20 03 11 17
house,0,4000,07 19 08 03 12 16 06 02 18 11 10 05 20 09 01 17 15 14 04 13
face,0,6000,05 07 12 09 15 20 16 17 03 13 18 14 02 01 08 04 11 06 19 10
tool,1,6000,20 02 11 06 13 19 03 14 18 12 17 09 01 00 07 05 04 10 08 16
face,0,6000,07 13 12 16 15 10 09 02 20 08 04 19 14 03 06 01 18 17 05 11
body,0,6000,10 17 03 20 18 19 06 01 13 07 08 16 02 04 12 05 15 14 11 09
tool,1,4000,13 02 12 11 04 17 14 15 09 06 01 07 20 10 19 16 08 00 03 18
tool,0,4000,07 16 11 19 20 17 02 05 10 12 04 15 03 09 13 01 18 08 06 14
face,0,8000,08 13 01 02 12 18 17 09 10 14 11 19 06 16 05 04 20 15 03 07
tool,0,8000,05 09 13 03 06 02 15 11 14 19 01 20 17 12 18 08 16 07 04 10
wordC,0,6000,10 06 05 15 13 07 01 18 02 19 17 09 11 08 03 04 20 12 14 16
body,0,6000,09 07 15 17 11 04 19 01 12 20 13 14 06 18 03 08 10 05 16 02
body,0,4000,17 04 11 06 01 09 08 13 07 05 03 10 18 19 02 20 14 12 15 16
face,0,8000,02 10 09 14 05 04 12 01 20 06 03 08 18 19 17 16 15 07 11 13
wordC,0,6000,18 13 16 20 07 19 06 09 14 03 15 04 10 05 08 12 01 17 11 02
emoji,1,8000,17 12 15 13 02 01 03 14 00 11 20 18 09 06 04 07 05 08 10 16
tool,0,8000,05 01 20 10 04 14 13 03 11 07 08 18 12 15 02 09 19 17 06 16
body,0,4000,14 06 19 17 13 12 20 07 11 15 10 01 04 02 08 05 16 09 03 18
house,0,6000,19 13 10 18 08 03 11 06 02 07 15 14 17 05 04 16 09 20 01 12
emoji,1,8000,04 01 17 16 03 11 14 05 18 19 00 12 20 07 08 09 06 15 13 10
wordEF,1,4000,07 06 13 17 14 10 19 11 00 04 20 02 01 18 08 15 09 16 03 12
wordEF,0,6000,12 17 15 03 07 01 11 06 20 04 16 08 13 02 14 09 10 05 18 19
number,0,4000,10 03 16 02 20 08 09 04 01 07 11 18 17 06 19 12 14 05 15 13
number,1,6000,04 02 09 03 15 13 14 08 17 12 00 10 05 07 16 01 18 20 06 11
wordC,0,8000,19 04 11 17 16 18 01 12 02 07 13 06 20 05 10 14 08 15 03 09
house,1,8000,19 02 14 12 17 08 11 06 15 03 10 16 00 05 20 07 18 09 01 13
body,1,8000,01 13 17 06 15 14 18 03 04 20 16 09 19 10 08 12 11 05 00 02
number,1,6000,03 18 05 02 19 10 11 14 20 17 00 09 12 08 15 07 06 16 13 04
face,0,6000,03 05 01 16 20 14 19 07 13 17 12 08 06 15 04 02 11 09 18 10
wordC,1,6000,02 11 08 03 04 00 06 18 10 13 01 07 05 20 12 09 14 17 15 16
wordC,0,4000,02 03 07 20 14 19 04 13 08 09 01 15 11 06 10 05 12 16 18 17
house,0,8000,17 09 13 19 11 01 04 05 15 02 03 06 14 20 18 16 10 12 08 07
house,0,6000,04 08 05 18 06 10 15 20 11 07 09 02 03 16 14 01 17 12 19 13
wordEF,0,4000,02 19 09 16 11 20 18 07 03 14 05 04 06 08 10 15 01 12 17 13
emoji,0,4000,12 20 05 07 19 09 04 06 14 17 11 10 08 16 01 03 13 02 18 15
number,0,6000,17 12 07 15 20 01 16 06 10 08 03 13 05 11 19 14 02 09 04 18
