cond,hasStar,rest,stim
wordEF,1,6000,14 20 11 03 18 07 12 19 16 06 04 05 09 01 08 13 00 02 10 17
wordEF,1,6000,06 01 07 02 18 19 17 09 00 15 05 13 16 12 10 11 20 08 04 03
face,1,4000,17 06 15 10 14 08 20 03 00 18 05 12 13 16 04 09 11 01 19 02
number,0,6000,04 07 16 19 14 13 09 01 06 20 10 08 02 12 05 18 11 17 03 15
wordEF,0,4000,02 15 13 11 14 20 19 16 12 04 18 07 09 03 17 05 08 06 10 01
body,0,8000,14 13 19 16 10 07 06 02 20 12 01 15 09 08 17 03 05 04 18 11
wordC,1,4000,04 02 16 08 13 12 17 05 03 09 19 11 06 18 10 20 14 00 15 01
face,0,6000,06 16 17 08 15 01 07 20 11 19 02 18 04 13 05 14 10 09 12 03
body,0,8000,02 03 14 12 05 16 10 07 11 01 04 13 08 19 17 09 15 18 20 06
face,1,6000,07 10 12 02 14 09 11 06 19 04 17 08 13 03 18 15 00 20 05 01
wordC,0,6000,15 04 02 11 17 12 19 06 10 01 18 20 07 08 05 16 14 13 03 09
house,0,6000,03 04 02 19 01 06 09 12 08 05 07 13 16 18 10 17 11 20 15 14
tool,0,6000,02 13 20 17 05 12 07 11 03 18 16 09 19 08 01 06 15 10 04 14
tool,0,6000,12 08 20 10 16 07 15 05 14 02 06 18 01 03 11 13 17 04 09 19
wordEF,0,6000,05 15 11 08 07 18 10 02 17 13 19 06 04 09 01 12 03 14 16 20
number,0,8000,02 09 11 10 20 13 05 01 12 16 14 07 06 17 15 04 03 08 18 19
wordEF,0,8000,17 04 05 14 08 01 19 06 18 13 03 16 20 12 07 15 02 10 11 09
wordC,1,4000,19 15 03 18 17 09 04 06 16 07 10 00 11 02 14 13 12 08 01 05
body,0,4000,18 01 20 14 12 15 09 03 08 10 06 07 04 11 13 17 05 02 16 19
emoji,0,6000,03 08 20 01 04 13 18 09 05 02 06 11 19 15 16 17 07 14 12 10
emoji,0,8000,14 07 20 17 11 01 19 06 12 15 03 02 09 05 08 04 10 13 16 18
tool,0,4000,20 15 19 09 01 11 04 10 02 12 13 14 06 08 16 05 18 17 07 03
number,1,6000,04 10 05 01 19 20 15 18 07 14 09 16 17 12 06 03 13 08 00 02
face,0,8000,20 16 10 15 08 07 06 11 05 19 01 13 18 12 03 02 04 09 14 17
body,0,8000,12 07 18 15 06 03 19 09 05 14 13 02 20 08 16 01 11 10 04 17
tool,0,4000,02 09 19 03 16 06 07 11 14 01 08 18 13 17 04 10 15 12 20 05
face,1,4000,01 05 02 11 18 06 07 16 15 10 14 09 00 04 20 12 08 03 13 17
house,0,4000,17 11 03 08 14 18 07 12 06 15 02 09 13 04 10 05 01 20 19 16
wordEF,1,4000,03 14 13 04 08 02 09 19 18 10 06 12 00 05 20 01 17 16 11 07
number,0,4000,15 07 03 04 20 08 10 09 02 14 05 18 11 17 01 19 16 06 13 12
body,0,4000,16 18 11 12 19 14 15 13 07 09 04 08 02 20 03 05 06 10 01 17
emoji,0,6000,05 15 19 09 13 01 06 20 08 14 17 18 03 02 16 10 04 12 11 07
house,1,4000,11 20 18 07 15 05 12 09 14 16 13 19 00 08 04 02 10 03 01 17
house,0,4000,07 15 03 13 08 06 16 20 04 01 10 02 09 18 14 12 17 19 11 05
wordC,0,6000,18 02 07 10 14 11 03 19 16 12 20 04 01 05 15 06 08 17 09 13
face,1,8000,08 16 09 17 18 14 01 06 12 05 04 10 11 13 07 15 19 02 00 20
tool,1,4000,17 06 19 02 16 00 12 08 05 04 07 14 20 15 03 10 18 11 01 09
number,0,4000,09 02 13 20 07 19 06 16 08 11 10 01 05 15 18 14 17 03 12 04
emoji,1,4000,10 01 09 05 06 12 03 08 19 00 13 14 07 16 15 20 04 11 18 17
house,0,6000,04 15 18 05 17 01 07 20 11 02 03 08 16 06 10 14 13 12 19 09
emoji,0,6000,04 10 01 20 19 18 02 06 03 05 07 17 14 12 09 08 13 16 15 11
number,1,8000,04 06 13 03 20 10 05 08 01 19 09 18 00 02 15 16 11 17 12 07
tool,0,6000,18 03 16 02 07 12 20 08 10 09 13 05 17 04 19 01 06 11 14 15
wordC,1,8000,12 11 14 05 16 15 06 09 17 00 04 03 20 02 18 10 08 19 13 07
house,0,8000,17 11 07 20 08 06 12 18 19 15 13 04 16 05 01 09 14 03 02 10
body,1,8000,05 19 01 13 11 16 12 08 20 02 15 09 03 14 07 18 04 06 10 00
emoji,0,4000,01 02 10 04 09 12 15 05 16 06 18 13 11 07 03 19 17 08 14 20
wordC,0,6000,06 13 09 19 15 02 20 17 11 01 12 07 18 03 04 05 10 08 14 16
