cond,hasStar,rest,stim
tool,1,8000,13 15 05 04 06 02 01 10 14 19 00 11 18 09 07 08 20 16 03 17
face,0,4000,03 01 09 16 17 07 15 05 18 19 20 14 11 06 04 08 13 12 02 10
emoji,1,4000,13 16 03 09 12 06 17 18 10 14 01 15 20 05 00 19 04 02 07 11
wordC,1,8000,01 02 17 07 12 05 20 15 10 00 19 11 06 09 14 13 04 16 08 18
wordC,1,8000,10 05 07 16 01 15 17 09 04 12 14 08 20 02 03 11 13 18 00 19
wordEF,0,8000,14 19 05 16 10 06 04 18 01 07 02 17 15 08 12 03 09 11 13 20
wordC,0,4000,02 14 12 20 16 10 03 17 13 19 08 01 09 07 11 05 18 15 06 04
house,0,4000,12 04 13 09 14 02 08 19 15 16 07 03 06 17 05 11 01 10 20 18
body,1,8000,06 19 12 20 11 17 15 13 10 05 07 18 02 03 01 14 08 09 04 00
body,0,4000,11 03 05 19 06 20 09 02 07 04 12 13 17 18 14 16 10 08 01 15
emoji,0,8000,13 03 11 05 14 15 12 04 06 16 01 19 07 20 10 17 09 08 18 02
wordC,0,8000,18 01 10 09 11 03 19 17 13 14 12 15 05 08 20 06 02 07 04 16
body,0,4000,09 19 05 14 12 02 03 16 15 17 04 06 08 18 10 11 13 20 01 07
house,1,8000,09 05 14 11 06 03 00 13 18 16 08 01 07 20 10 15 02 12 04 17
face,0,6000,17 02 09 18 20 19 01 11 16 08 03 12 07 05 06 15 10 04 13 14
house,0,6000,20 10 16 14 08 17 19 04 18 12 05 11 09 15 01 13 03 06 02 07
wordEF,1,6000,04 13 11 08 07 18 01 00 17 12 02 06 20 10 09 15 05 16 03 19
face,1,6000,11 09 04 13 19 20 05 15 06 07 14 01 00 03 08 16 17 12 10 02
tool,1,4000,15 13 07 11 01 14 06 16 05 12 03 17 00 08 02 10 04 18 20 09
number,0,6000,19 07 04 11 10 20 18 05 14 17 06 15 12 08 16 13 09 02 01 03
wordEF,0,6000,04 16 09 17 18 19 14 03 08 01 12 13 07 06 02 11 15 05 10 20
wordEF,0,8000,04 10 03 15 07 02 14 18 08 20 11 01 13 17 16 09 19 12 06 05
body,0,6000,11 15 03 08 18 13 20 05 06 09 02 19 17 01 04 07 10 16 14 12
tool,1,6000,02 15 14 01 08 03 11 12 07 04 16 17 09 06 10 20 00 05 19 13
tool,0,8000,04 15 08 20 18 01 07 16 19 11 17 06 05 14 12 03 10 09 13 02
number,1,6000,15 17 11 14 02 07 04 01 10 13 19 12 09 18 05 00 08 16 20 06
house,0,6000,11 07 02 19 13 01 05 03 17 20 10 18 09 14 15 16 12 06 04 08
wordC,0,6000,01 05 08 17 09 13 15 10 12 11 03 19 16 04 02 18 07 06 14 20
wordEF,0,4000,11 19 07 15 08 13 05 02 10 06 12 14 03 09 04 16 20 17 18 01
tool,0,4000,08 15 18 07 03 12 06 04 05 17 20 10 09 11 16 01 19 14 13 02
house,1,4000,08 18 14 10 15 13 16 07 02 00 09 05 11 04 19 12 01 06 17 03
face,0,8000,09 03 06 20 19 16 13 08 04 01 02 14 05 15 10 07 11 17 18 12
number,0,4000,17 03 06 18 05 20 11 09 13 14 02 07 15 01 08 19 04 16 10 12
wordEF,1,6000,04 18 07 20 16 17 15 06 09 02 03 11 08 10 13 00 01 12 19 14
house,0,6000,03 18 17 15 12 20 06 11 05 14 19 02 04 09 10 07 08 01 13 16
body,0,8000,08 10 02 15 17 12 14 04 16 11 06 05 19 03 07 13 18 20 01 09
face,0,6000,03 10 13 12 16 20 19 05 14 15 07 17 06 01 08 11 09 02 04 18
number,0,6000,04 06 15 17 01 11 13 19 10 05 12 02 16 20 08 14 09 18 07 03
tool,0,4000,01 20 11 10 18 17 14 06 09 12 15 02 16 13 05 04 03 07 19 08
body,0,6000,02 14 19 07 11 03 15 17 05 04 12 20 06 01 16 13 09 08 10 18
number,1,4000,06 03 17 10 12 02 15 05 11 09 13 04 14 07 18 20 00 01 16 19
emoji,0,4000,15 11 05 17 16 14 06 09 03 10 02 01 19 18 20 12 13 04 07 08
face,0,4000,05 11 17 18 15 10 19 16 07 04 01 09 03 02 06 13 12 08 20 14
emoji,0,4000,14 12 10 18 09 04 20 01 05 15 19 17 03 08 13 11 02 16 06 07
emoji,1,4000,18 09 02 17 04 00 07 03 13 06 15 08 16 12 20 01 10 11 19 05
number,0,4000,06 11 12 19 14 08 18 04 07 17 01 10 20 03 05 02 15 09 16 13
wordC,1,6000,16 12 09 17 04 08 05 07 06 10 03 02 14 18 13 19 01 20 15 00
emoji,0,6000,10 08 04 11 19 14 03 09 16 15 05 07 20 18 06 13 12 01 02 17
