cond,hasStar,rest,stim
number,1,6000,03 13 11 08 09 04 20 02 18 19 17 15 10 05 07 06 14 00 16 12
wordEF,1,8000,18 12 19 11 13 06 04 03 20 07 09 15 10 01 14 00 16 02 05 08
wordC,0,6000,05 15 08 17 02 04 10 18 06 13 07 12 11 03 16 20 14 09 01 19
tool,0,6000,04 06 08 05 20 19 03 13 01 07 17 18 15 16 09 10 12 02 11 14
wordEF,0,4000,08 11 09 10 04 20 14 06 16 05 19 03 18 01 15 13 02 17 07 12
face,0,6000,03 10 12 14 19 06 20 09 13 02 07 04 11 17 01 16 08 15 05 18
wordEF,0,4000,16 07 15 13 20 09 12 05 01 19 03 14 10 04 11 02 06 17 08 18
body,1,6000,05 12 07 01 18 19 03 15 13 17 00 11 20 10 02 16 09 08 14 04
emoji,1,6000,10 13 18 17 19 14 16 06 02 01 04 11 15 09 00 05 12 03 20 07
number,1,8000,11 05 16 06 13 14 00 12 18 07 08 10 19 17 15 09 01 03 04 02
emoji,0,8000,01 05 14 16 15 20 03 02 12 10 17 18 08 04 19 11 09 07 13 06
number,0,6000,19 03 18 09 11 07 05 02 20 08 01 12 10 13 06 15 16 14 04 17
emoji,0,4000,18 08 09 10 20 13 19 15 03 04 14 01 07 17 06 16 12 05 02 11
wordC,0,6000,01 08 13 12 16 06 19 18 05 04 15 09 11 17 02 10 07 14 20 03
house,0,4000,16 06 12 10 03 08 18 04 07 17 09 15 19 14 02 05 01 20 13 11
body,0,8000,13 09 07 15 10 02 17 18 01 12 03 04 19 08 06 16 11 20 14 05
face,0,4000,02 09 10 06 05 13 15 01 18 20 03 11 19 14 04 12 07 08 16 17
emoji,0,8000,10 05 20 19 02 18 12 13 15 07 03 04 17 01 14 06 16 09 08 11
wordEF,0,4000,12 05 08 20 11 04 17 10 18 16 02 09 07 01 19 13 03 14 15 06
wordEF,0,6000,13 11 08 20 03 05 15 06 14 07 12 09 19 01 10 18 02 16 04 17
tool,0,6000,19 17 08 07 14 06 02 20 01 10 04 09 13 16 12 05 15 03 11 18
house,1,4000,18 09 13 01 08 07 04 12 17 16 00 10 05 20 15 14 02 11 03 19
number,0,8000,01 08 04 17 15 19 14 06 18 07 13 10 02 20 09 16 03 12 05 11
house,0,6000,08 09 02 10 16 14 04 12 18 01 19 05 15 17 11 03 13 20 07 06
house,1,8000,18 04 06 12 05 16 20 15 01 08 07 09 00 02 17 13 03 11 19 10
tool,0,4000,09 08 18 15 19 07 04 01 13 06 03 16 10 20 14 02 11 12 17 05
emoji,0,4000,07 05 10 01 12 08 17 18 15 13 11 20 03 04 19 02 14 16 06 09
wordC,0,4000,05 09 02 12 04 14 10 07 03 19 18 20 11 15 08 06 01 16 17 13
wordC,0,4000,06 07 10 14 19 20 18 13 01 05 02 09 15 12 11 04 17 16 08 03
face,1,8000,02 06 15 09 20 11 12 07 08 00 13 01 03 14 16 19 10 17 18 04
number,1,4000,03 09 14 04 19 05 16 13 17 07 01 12 15 06 10 08 20 11 00 18
body,1,8000,19 03 18 10 20 06 17 09 14 13 08 00 15 01 16 07 04 11 02 12
number,0,6000,12 08 20 04 10 15 05 18 13 02 19 07 01 14 17 11 16 03 09 06
body,1,6000,10 13 03 01 15 12 04 18 05 06 14 19 00 11 07 20 16 17 08 09
emoji,1,8000,01 09 11 08 14 16 13 02 18 20 10 03 19 15 07 00 05 04 12 17
wordEF,0,4000,16 01 08 14 06 18 07 15 04 20 10 05 19 02 13 09 03 12 11 17
face,0,8000,10 20 03 07 17 11 14 08 01 15 19 04 02 05 16 09 18 06 12 13
tool,1,4000,07 17 18 06 13 05 16 10 00 11 04 12 03 02 15 09 14 08 20 01
face,0,6000,12 17 04 05 08 06 03 09 07 18 14 16 20 15 01 11 02 10 19 13
face,0,4000,16 02 15 12 18 04 07 20 13 14 09 17 10 01 06 11 03 08 19 05
tool,1,4000,18 17 04 06 14 20 08 09 15 12 07 10 02 11 16 03 13 19 00 01
wordC,0,6000,01 08 11 14 18 09 06 03 13 17 05 20 10 19 16 04 12 07 02 15
house,1,6000,15 02 17 03 06 18 19 09 00 05 20 04 14 12 08 11 07 01 16 13
wordC,0,6000,13 08 17 20 10 11 06 07 15 05 02 14 03 12 18 04 01 09 16 19
tool,0,8000,04 11 03 12 08 07 18 10 15 20 17 09 19 16 05 01 02 06 14 13
body,0,4000,10 20 17 06 03 15 11 09 14 16 01 13 05 08 04 02 07 19 18 12
house,0,4000,16 05 15 03 11 10 07 18 04 19 14 08 17 09 20 13 01 02 12 06
body,1,6000,02 19 13 04 15 16 01 14 20 17 06 09 11 03 10 07 18 00 05 08
