cond,hasStar,rest,stim
face,1,6000,14 20 05 03 15 16 07 06 19 08 00 09 11 01 18 17 12 02 04 13
wordEF,0,4000,13 18 17 11 12 07 20 03 04 02 01 08 06 10 14 05 19 16 09 15
wordC,0,4000,09 07 03 08 04 10 16 14 15 20 06 13 01 19 11 05 17 12 18 02
house,1,6000,05 03 09 04 16 10 00 18 13 15 19 01 08 20 02 06 17 11 12 14
face,1,8000,06 03 17 04 07 15 11 16 19 05 08 01 02 09 18 13 14 00 20 10
wordC,1,6000,11 07 05 16 02 04 13 17 20 03 18 12 09 15 10 08 00 06 01 14
house,0,6000,18 09 13 08 20 10 04 17 03 16 15 19 14 02 12 01 05 11 07 06
emoji,0,6000,16 11 13 07 02 18 14 19 20 03 17 01 10 12 08 15 09 04 06 05
house,0,8000,09 14 12 20 05 02 07 15 06 01 19 11 10 13 04 03 16 18 17 08
body,1,4000,19 12 15 04 06 05 16 18 17 11 00 13 14 03 10 09 08 02 20 01
wordEF,0,4000,01 14 09 12 16 11 13 04 17 18 20 15 05 19 08 10 03 06 07 02
emoji,0,8000,08 20 13 01 15 19 16 04 17 03 06 18 09 05 12 02 07 11 10 14
emoji,1,8000,02 08 19 17 06 01 09 04 20 10 18 05 03 12 14 00 11 07 15 13
wordC,0,6000,04 14 15 10 11 05 20 03 06 01 18 07 16 12 02 17 19 13 08 09
number,0,4000,19 17 12 01 11 07 03 02 09 08 13 15 18 20 10 16 06 05 04 14
tool,0,4000,08 20 16 07 01 18 06 09 14 11 03 17 19 02 10 04 13 12 15 05
number,0,6000,04 18 02 16 06 08 05 01 03 20 07 17 10 15 13 11 12 09 14 19
emoji,0,4000,16 04 12 03 18 10 01 15 14 17 07 08 20 19 06 13 05 11 09 02
tool,0,8000,17 02 09 07 03 10 04 19 16 01 20 15 13 06 08 12 14 11 05 18
wordC,0,4000,05 17 04 12 15 02 08 19 10 01 09 14 18 06 11 16 07 03 13 20
tool,0,4000,10 07 16 03 11 13 02 05 08 12 09 04 18 17 06 14 15 01 19 20
face,0,6000,10 01 07 02 06 03 12 17 19 14 18 05 20 08 15 04 11 16 09 13
face,0,4000,15 16 01 12 03 02 06 13 07 14 19 04 17 09 20 18 10 08 05 11
wordEF,0,6000,01 10 17 20 09 08 03 19 12 11 15 18 05 16 13 02 14 04 07 06
house,1,6000,04 01 08 20 09 12 03 11 10 19 05 02 13 18 06 00 15 14 17 07
body,1,8000,02 16 13 05 10 03 06 00 15 17 14 18 11 08 12 01 20 04 09 19
house,0,4000,06 07 03 17 12 01 02 15 13 09 10 08 18 20 04 11 19 16 14 05
wordC,0,6000,17 05 06 15 09 20 16 19 14 08 07 04 01 02 10 11 03 13 12 18
face,0,8000,19 07 10 20 05 12 09 08 11 17 16 15 14 13 04 02 18 01 03 06
tool,0,6000,16 14 19 05 12 04 01 03 18 08 07 13 17 11 09 20 02 10 15 06
emoji,0,4000,05 02 20 12 18 01 03 13 04 10 14 17 07 15 06 08 16 11 19 09
number,0,4000,02 20 19 06 12 14 15 08 13 04 11 16 09 03 05 10 01 07 17 18
body,1,8000,05 07 12 03 16 08 13 17 06 01 09 18 11 15 20 14 04 19 00 10
number,1,6000,02 06 17 13 15 01 07 12 11 08 16 10 18 20 14 00 04 09 05 19
face,0,6000,12 09 13 03 18 05 08 17 01 20 06 11 16 14 04 10 07 02 15 19
body,1,4000,07 14 19 15 17 11 05 03 10 20 18 01 09 00 08 04 02 13 16 06
number,1,6000,09 10 20 02 06 11 14 03 13 08 15 17 00 12 07 19 04 18 05 01
wordC,0,4000,17 06 16 05 14 18 01 10 11 07 20 12 08 04 13 09 02 15 03 19
body,0,4000,07 10 03 01 02 20 08 19 11 15 04 14 13 12 17 16 05 06 09 18
emoji,1,4000,10 15 19 04 05 06 01 08 11 03 16 02 17 18 12 20 07 09 00 14
tool,0,8000,02 05 08 19 07 20 12 13 15 01 03 10 17 18 06 16 14 09 04 11
tool,1,8000,15 05 14 09 06 12 01 11 16 13 19 08 03 10 20 02 18 00 07 17
number,0,8000,02 17 08 11 13 14 04 20 12 05 06 01 03 16 09 07 19 15 18 10
wordEF,0,8000,05 09 12 04 06 01 10 07 17 02 03 13 16 20 15 14 08 11 18 19
wordEF,1,4000,14 04 17 10 13 02 06 05 09 16 15 00 20 07 08 12 03 11 19 18
body,1,6000,07 05 13 03 12 15 18 06 14 19 20 11 01 10 02 00 04 16 09 17
wordEF,0,6000,15 04 11 09 07 14 06 10 12 03 20 02 16 19 01 05 18 17 08 13
house,0,6000,16 19 09 10 07 02 13 06 20 05 08 03 01 17 18 11 12 15 04 14
