cond,hasStar,rest,stim
wordEF,1,8000,09 05 04 03 15 20 00 01 16 17 07 02 08 10 13 12 18 06 11 19
wordC,1,6000,04 08 12 20 06 15 16 18 01 03 17 07 14 09 00 19 11 10 02 13
house,1,4000,19 09 14 13 10 08 11 16 02 15 18 07 05 01 20 06 00 04 03 17
body,0,8000,15 09 17 01 07 19 10 20 08 13 14 18 12 16 06 04 11 02 05 03
face,0,4000,06 02 07 14 13 12 16 08 05 10 09 11 17 03 04 01 15 18 20 19
face,0,6000,08 15 05 03 09 17 01 12 07 16 10 18 19 02 14 04 06 11 13 20
house,1,4000,17 05 19 06 10 07 01 16 20 15 02 12 03 00 18 14 11 13 04 08
wordC,0,8000,15 16 14 12 07 18 08 06 10 02 05 03 11 17 01 13 09 20 04 19
face,0,4000,12 13 10 18 02 16 04 01 08 03 05 07 11 06 19 15 20 09 17 14
number,1,6000,04 16 03 05 15 19 00 18 06 08 13 20 01 12 10 07 11 17 14 02
tool,0,8000,14 16 02 03 09 04 10 13 08 12 07 15 19 17 01 06 18 05 20 11
body,0,8000,11 12 08 19 02 07 06 18 05 10 14 01 09 13 03 17 15 16 20 04
tool,1,6000,09 06 10 12 14 16 05 20 07 17 15 00 02 19 11 13 08 01 18 04
face,0,8000,18 03 12 06 16 11 02 01 15 17 10 04 08 19 09 13 07 14 05 20
number,1,8000,08 05 14 03 02 07 00 12 17 09 15 01 16 06 19 18 04 13 10 11
emoji,0,6000,07 02 08 17 12 10 16 04 14 20 09 01 18 06 19 05 03 11 13 15
house,0,6000,03 09 19 04 10 18 05 11 20 08 12 06 15 14 01 07 13 16 02 17
wordC,0,4000,13 14 19 06 15 05 01 04 08 10 20 07 03 17 02 16 18 09 12 11
house,1,8000,15 08 12 09 06 04 11 19 10 20 07 18 16 03 13 05 02 14 00 01
number,0,8000,08 12 16 04 06 18 09 19 11 14 10 01 15 05 20 13 07 17 02 03
wordEF,1,6000,05 08 13 15 14 03 12 11 18 17 04 20 19 09 01 10 02 07 00 16
wordEF,0,6000,07 20 19 05 12 10 08 01 11 13 06 04 15 09 18 14 16 03 02 17
emoji,0,6000,16 13 12 04 11 15 17 06 03 07 18 10 02 01 08 14 20 09 19 05
tool,0,6000,17 13 14 12 11 05 07 19 08 15 10 06 16 02 04 20 03 09 18 01
face,1,8000,09 12 07 17 16 18 02 04 20 08 00 11 19 13 06 03 14 10 05 15
emoji,1,4000,15 14 12 08 04 00 01 03 09 06 11 10 18 19 20 07 17 05 16 13
wordC,0,6000,17 14 06 16 11 08 03 04 19 13 07 12 10 02 05 01 20 09 15 18
body,1,4000,13 15 06 10 03 05 11 14 19 09 16 20 01 07 00 02 12 17 18 08
body,0,4000,14 11 20 13 15 17 05 10 16 01 06 19 08 04 09 12 02 07 03 18
number,1,4000,11 13 04 01 07 16 05 14 09 02 19 08 03 17 06 00 20 10 18 15
house,0,4000,02 15 08 10 13 07 17 09 18 12 11 06 14 05 16 03 19 01 04 20
number,0,8000,04 13 03 20 10 14 08 19 01 07 18 16 06 09 15 02 12 17 05 11
body,0,4000,04 20 13 11 07 18 09 15 03 17 05 01 02 10 14 12 19 08 16 06
tool,0,4000,15 13 12 09 14 06 07 05 19 10 11 03 08 04 01 17 02 18 16 20
wordEF,0,6000,17 18 19 09 05 02 16 13 07 14 06 03 01 11 12 04 20 10 08 15
emoji,0,6000,07 13 01 06 11 19 08 14 04 02 17 12 09 10 18 15 03 05 16 20
face,0,6000,17 11 08 19 01 18 02 15 14 13 05 16 03 10 06 04 12 07 20 09
emoji,0,4000,17 11 08 14 02 04 03 07 19 16 15 09 20 12 05 06 13 10 01 18
emoji,0,4000,02 13 19 20 06 03 14 18 05 01 12 09 16 04 11 17 15 08 07 10
tool,1,4000,02 05 20 06 13 08 09 07 18 03 17 16 14 10 12 00 04 01 19 15
body,0,4000,14 10 19 20 02 12 04 18 07 15 11 09 08 06 01 16 05 13 03 17
wordC,0,6000,17 04 15 05 13 09 06 12 20 07 08 10 19 14 02 03 18 16 11 01
wordEF,0,6000,09 19 05 14 06 08 03 01 18 04 15 11 12 07 17 16 02 10 13 20
number,1,6000,10 05 01 02 19 14 17 18 00 15 16 13 20 07 03 08 09 06 11 12
house,1,8000,11 07 02 14 17 06 13 05 19 18 08 01 16 10 09 20 04 03 15 00
wordC,0,4000,13 17 08 01 18 19 04 11 05 16 09 10 15 03 14 07 06 02 20 12
tool,0,4000,11 02 01 19 07 05 09 10 18 12 04 20 14 06 17 16 08 13 03 15
wordEF,0,6000,07 06 15 04 01 02 12 20 08 13 18 16 17 14 19 09 10 03 11 05
