cond,hasStar,rest,stim
number,0,6000,03 18 07 19 05 08 09 01 20 13 04 10 15 14 06 11 12 16 17 02
wordC,0,8000,13 18 16 10 15 11 02 17 03 08 04 01 05 09 07 19 06 12 14 20
body,1,6000,10 19 14 05 11 18 15 13 00 02 17 20 16 04 08 12 06 01 03 07
emoji,1,4000,01 15 04 02 03 13 19 18 17 08 12 10 05 14 16 00 11 09 20 06
face,0,4000,02 16 04 03 09 13 18 14 12 01 19 06 15 17 20 07 08 11 05 10
house,0,8000,14 16 08 13 04 01 07 02 19 20 18 03 12 09 05 15 11 17 10 06
wordEF,0,4000,11 10 12 16 20 03 15 05 09 08 17 02 06 19 14 01 04 07 18 13
wordEF,0,6000,10 02 18 11 14 05 06 13 03 16 07 15 20 01 09 08 19 12 04 17
tool,0,6000,06 15 18 11 05 17 20 12 14 01 13 19 04 08 03 16 02 10 09 07
face,1,4000,16 06 03 07 04 20 00 12 15 17 08 19 05 14 09 18 01 02 13 11
body,0,8000,14 16 13 03 04 20 02 12 15 19 01 08 05 09 11 17 07 06 10 18
house,1,4000,06 18 17 04 20 07 08 19 16 01 02 10 15 00 14 12 09 11 05 03
emoji,1,6000,17 02 05 06 11 18 00 10 04 20 12 14 15 09 08 01 16 07 13 19
house,0,4000,05 07 06 11 17 02 14 03 10 09 15 13 04 20 19 08 16 01 12 18
wordEF,1,6000,04 09 05 14 20 15 11 18 02 03 19 10 06 17 00 12 16 08 07 13
body,0,4000,03 12 06 02 15 10 05 17 13 08 09 14 11 18 01 20 04 07 16 19
emoji,1,8000,12 13 19 06 17 20 08 16 15 00 04 01 10 18 05 03 09 07 02 11
face,0,8000,18 20 15 08 03 09 16 11 01 13 04 19 17 05 10 02 14 06 12 07
tool,1,4000,13 12 19 06 16 18 04 09 08 03 17 05 10 07 14 00 11 01 02 20
tool,0,8000,04 05 16 18 06 13 03 20 12 07 01 17 10 09 11 02 08 19 14 15
house,0,8000,04 10 13 12 03 07 08 02 17 11 15 20 05 06 16 18 09 14 19 01
number,1,4000,15 19 11 13 05 00 04 18 07 01 02 03 17 20 09 08 12 10 06 16
face,0,6000,17 16 14 03 11 05 08 10 13 12 02 06 07 20 01 19 15 18 04 09
emoji,0,8000,20 10 09 18 11 05 08 02 17 07 03 15 01 04 12 19 16 14 13 06
wordEF,0,4000,11 17 01 14 10 07 20 04 13 05 08 19 02 06 09 16 12 03 15 18
emoji,0,6000,19 17 14 15 04 01 10 18 13 08 20 03 12 16 07 11 05 06 02 09
wordEF,0,4000,01 11 05 18 17 19 09 16 07 10 08 12 14 20 06 03 02 04 13 15
face,0,8000,14 15 13 16 11 03 19 10 04 18 01 17 02 09 06 12 05 08 07 20
number,0,6000,17 02 03 07 16 18 05 15 09 06 20 19 01 10 04 14 13 08 12 11
wordC,1,6000,20 02 04 15 16 13 17 06 03 08 05 00 01 19 18 11 12 10 14 07
house,0,4000,18 01 17 19 11 14 20 06 09 08 15 02 07 13 12 04 10 03 16 05
number,0,4000,07 17 12 15 04 16 20 08 06 13 18 01 03 14 19 10 05 02 11 09
tool,1,8000,10 09 06 08 18 14 07 12 00 04 20 03 11 01 17 19 16 13 05 15
body,0,4000,17 06 16 01 20 13 08 11 14 12 09 15 05 04 07 19 18 10 03 02
wordC,1,6000,06 17 07 10 18 15 04 00 03 16 01 12 02 09 19 05 13 11 08 14
tool,0,4000,13 19 14 02 08 16 09 20 11 07 05 12 01 03 04 10 18 17 15 06
wordC,1,4000,16 01 15 18 07 06 00 10 11 17 08 12 19 09 02 04 03 05 14 20
body,0,4000,16 13 06 01 12 17 02 04 08 07 18 09 14 10 19 03 11 20 15 05
wordC,1,6000,02 12 03 01 13 06 10 14 09 11 04 18 20 07 08 17 00 05 19 16
face,0,4000,15 12 11 06 05 04 03 20 17 14 01 16 19 10 08 09 13 18 07 02
number,0,6000,05 20 06 02 17 10 01 09 15 13 03 19 04 11 07 18 14 12 08 16
house,0,6000,09 18 10 19 12 14 04 02 15 17 07 16 05 01 06 11 20 08 13 03
body,0,8000,04 01 11 14 12 15 08 16 06 02 13 07 10 03 20 18 19 05 17 09
tool,0,6000,05 04 03 01 14 09 15 19 12 07 16 10 11 08 13 17 18 20 02 06
number,0,6000,17 02 03 04 20 01 09 16 08 12 10 14 07 18 11 15 05 06 19 13
wordC,1,8000,03 04 17 08 12 06 02 13 10 15 01 07 14 05 00 09 16 20 19 11
emoji,1,6000,16 13 18 14 17 00 06 15 20 05 10 04 08 09 19 12 01 03 02 11
wordEF,0,6000,04 10 17 05 15 01 18 14 07 13 09 06 03 11 08 12 02 16 20 19
