cond,hasStar,rest,stim
tool,0,6000,16 19 18 13 02 17 04 06 11 05 09 20 07 14 08 15 01 03 12 10
house,1,4000,19 18 10 11 07 00 01 13 02 20 15 12 09 04 17 05 03 08 06 16
tool,1,8000,14 06 03 04 07 00 11 19 20 01 18 08 05 12 10 02 09 13 15 17
house,1,8000,07 13 10 17 04 16 11 01 08 09 15 05 06 12 18 19 00 03 02 14
face,0,6000,17 12 09 02 13 05 16 18 08 03 14 19 06 04 11 10 07 20 15 01
face,0,4000,13 09 01 04 03 20 16 17 02 14 15 18 05 11 10 12 07 08 06 19
tool,0,8000,09 08 17 03 19 06 05 18 10 20 15 16 11 01 04 07 02 13 14 12
face,0,4000,14 03 20 12 13 06 01 11 08 16 18 19 04 10 05 02 15 17 09 07
tool,0,8000,12 03 01 16 04 05 14 07 06 10 15 18 19 13 08 02 11 17 20 09
number,0,8000,17 09 04 11 01 05 08 12 07 19 16 06 15 13 10 20 02 18 14 03
wordC,0,4000,09 14 19 18 13 04 05 17 01 15 08 07 10 03 02 16 20 12 11 06
body,0,8000,04 11 05 07 06 13 08 14 02 18 20 19 12 09 15 17 10 01 16 03
tool,0,4000,11 10 08 07 16 05 19 04 14 01 09 20 15 13 02 18 03 06 17 12
body,0,4000,03 02 04 16 11 18 19 07 10 14 15 20 13 09 08 01 12 05 17 06
number,0,8000,15 02 08 12 09 18 04 05 06 19 11 14 10 01 17 03 16 13 07 20
wordC,0,6000,12 11 15 14 17 10 18 06 02 05 04 19 01 16 08 09 13 07 20 03
face,0,4000,05 06 02 16 07 14 15 17 18 20 10 01 11 13 04 03 09 19 12 08
body,0,4000,05 10 19 12 08 07 01 13 09 15 16 11 20 18 04 02 14 03 17 06
wordEF,0,4000,15 12 11 03 04 14 17 05 18 08 07 10 09 19 16 01 20 13 06 02
body,0,6000,15 19 10 04 09 20 06 16 11 07 02 14 13 05 12 18 17 03 01 08
body,1,6000,03 18 01 17 20 02 09 06 12 14 08 15 11 19 13 16 05 07 00 10
emoji,1,4000,01 13 11 14 10 18 12 02 03 20 08 05 16 15 07 19 17 09 04 00
wordEF,0,6000,13 20 12 07 16 15 14 01 11 08 03 06 02 19 05 18 09 17 10 04
number,0,6000,07 05 04 09 02 08 15 12 19 17 01 14 20 10 06 18 13 16 03 11
wordEF,0,4000,13 19 14 11 10 01 05 04 09 03 06 20 08 16 15 07 17 02 18 12
house,0,8000,04 08 03 19 07 14 16 12 05 18 17 15 09 10 02 11 06 01 13 20
wordEF,0,6000,02 07 09 19 16 10 20 06 18 14 15 04 11 08 13 17 03 12 01 05
tool,1,4000,15 16 11 18 10 08 17 12 06 04 00 01 13 07 20 05 03 09 19 14
wordC,0,6000,02 08 14 06 10 11 03 05 04 15 12 13 07 19 01 17 20 09 18 16
number,0,4000,07 20 09 19 01 08 17 03 15 12 11 13 18 04 16 14 05 10 02 06
face,0,4000,13 11 18 01 06 03 10 14 20 17 09 05 04 07 16 02 12 15 19 08
wordC,1,6000,06 09 17 18 15 20 08 16 02 12 00 10 13 03 01 07 14 11 19 05
wordEF,0,8000,20 12 17 19 03 14 13 06 04 05 18 15 16 01 07 10 11 09 02 08
emoji,0,4000,13 10 11 20 14 04 17 02 16 06 12 15 03 09 08 01 18 07 19 05
emoji,1,6000,14 03 11 19 01 17 09 07 08 15 13 12 20 18 06 10 04 05 16 00
number,0,6000,13 04 11 02 05 17 08 16 10 18 09 01 03 12 07 19 14 06 20 15
number,0,6000,04 10 20 07 18 05 17 09 02 12 06 13 03 14 15 16 11 08 19 01
wordC,1,4000,16 06 19 01 18 09 04 03 17 02 20 00 05 08 12 11 14 07 13 15
house,1,6000,15 06 20 01 13 08 03 07 10 11 00 09 18 19 12 16 02 04 17 14
wordC,0,8000,18 06 04 11 05 20 09 15 01 14 08 03 13 10 02 07 12 17 19 16
body,1,4000,08 17 15 09 01 03 14 18 10 02 07 20 12 11 13 05 06 19 16 00
emoji,0,8000,19 06 13 07 10 04 16 14 15 11 18 20 12 02 03 08 09 01 17 05
emoji,1,4000,10 05 09 01 12 19 02 18 17 00 16 04 08 20 14 11 06 13 03 15
face,1,6000,08 18 19 10 05 04 02 16 14 01 15 20 13 17 06 11 12 09 00 07
house,1,6000,12 08 19 01 11 02 07 10 05 06 17 15 13 00 16 20 04 14 18 09
house,0,8000,02 04 05 15 10 18 12 17 01 08 19 16 06 03 14 13 20 11 09 07
emoji,1,6000,05 08 01 04 09 14 16 17 07 19 06 13 03 20 15 18 10 12 00 02
wordEF,1,6000,13 07 17 12 15 14 01 03 11 05 08 02 06 18 00 09 20 10 19 04
