cond,hasStar,rest,stim
body,1,4000,18 10 03 02 04 08 07 11 06 00 17 19 12 16 13 05 20 09 14 01
house,0,8000,14 18 07 08 06 20 10 02 09 05 17 16 12 11 15 19 03 13 04 01
face,0,8000,01 11 14 05 08 18 12 13 03 19 02 04 10 07 20 06 17 15 16 09
face,1,6000,16 18 10 12 17 04 03 06 20 00 08 07 14 19 09 01 15 05 13 02
emoji,1,4000,03 13 18 12 14 20 06 15 08 10 02 11 07 09 05 17 00 19 04 16
wordEF,0,6000,03 10 02 12 06 04 20 16 05 19 01 08 18 15 13 07 11 14 17 09
tool,0,8000,13 10 18 11 04 03 19 05 02 09 14 06 07 12 01 16 20 15 17 08
wordC,0,6000,07 04 09 06 16 05 08 12 15 14 02 10 18 19 03 01 20 11 17 13
face,1,6000,06 10 16 12 14 07 04 02 01 08 03 09 13 17 19 15 20 18 00 11
face,0,4000,07 17 12 18 13 05 01 19 15 06 16 11 03 20 04 10 14 02 08 09
tool,0,6000,06 15 04 01 10 20 11 14 05 09 07 18 19 17 13 08 03 16 12 02
tool,0,4000,20 14 09 17 03 04 05 06 08 19 02 11 16 15 18 13 10 12 01 07
house,0,6000,13 07 04 16 12 15 10 20 11 14 17 05 08 02 19 01 09 18 06 03
body,0,4000,08 05 15 09 06 03 20 18 10 11 16 12 07 17 04 14 19 01 02 13
emoji,0,4000,03 11 06 07 01 05 15 08 20 14 13 09 10 18 16 02 17 19 12 04
body,1,4000,05 07 18 02 10 14 19 11 04 15 08 06 00 13 03 16 12 17 01 09
number,0,6000,01 04 05 17 03 12 15 07 10 20 06 08 14 13 09 16 19 18 11 02
wordC,0,6000,08 03 05 13 12 07 19 01 04 14 16 15 18 02 10 09 17 20 06 11
number,0,8000,13 09 12 17 10 04 02 03 08 19 01 05 15 18 14 06 07 11 16 20
tool,1,8000,14 17 06 18 03 12 02 15 07 08 19 13 20 04 09 16 10 05 01 00
wordC,0,6000,03 08 16 01 17 11 04 10 13 12 20 02 15 05 19 07 06 14 18 09
face,1,6000,16 11 04 02 20 05 13 09 07 12 14 17 19 01 18 08 15 06 00 03
body,0,6000,04 14 05 11 12 06 18 08 13 03 16 01 07 20 19 02 15 17 09 10
tool,0,6000,13 18 09 02 15 08 20 01 10 04 03 16 05 12 17 06 07 19 11 14
number,0,6000,15 09 11 20 18 13 03 19 06 12 08 01 02 10 04 14 05 07 17 16
wordEF,0,4000,14 17 04 15 03 01 11 12 09 06 18 08 19 02 10 20 05 16 13 07
body,0,8000,16 04 20 06 19 17 09 10 13 15 02 07 12 08 05 14 18 11 03 01
emoji,0,8000,17 05 07 01 16 09 19 15 06 12 11 04 14 02 08 18 13 03 10 20
house,0,4000,19 18 12 05 04 01 07 20 11 09 15 10 02 06 08 13 03 17 14 16
number,1,6000,04 01 02 18 11 20 12 17 06 16 13 03 00 09 05 07 10 14 19 08
wordEF,1,4000,18 11 20 09 04 08 05 00 12 06 10 02 03 07 16 14 15 01 13 19
wordEF,1,4000,17 08 15 01 03 16 18 00 11 02 20 04 06 09 05 19 07 13 12 10
wordC,1,8000,13 19 02 05 03 09 10 15 07 16 17 00 01 18 11 14 06 12 08 20
wordEF,0,8000,03 01 13 20 08 02 17 18 07 06 14 16 09 11 04 10 15 19 12 05
wordC,0,6000,09 01 10 19 03 14 12 20 11 04 15 16 05 13 02 17 08 07 18 06
house,1,4000,01 03 10 14 11 05 15 04 13 07 08 12 17 00 02 09 20 18 19 06
emoji,0,6000,16 19 18 05 11 10 06 02 15 08 04 14 13 17 07 20 09 12 01 03
wordC,0,4000,10 03 09 14 12 08 13 01 16 18 19 07 17 04 15 20 05 11 02 06
number,1,4000,09 12 08 18 04 01 16 19 06 10 00 17 11 03 13 14 02 07 05 20
house,0,8000,11 15 20 18 09 19 01 12 05 10 16 07 03 06 13 08 14 04 02 17
house,0,4000,09 07 14 08 17 10 12 01 19 13 11 20 05 03 18 04 15 16 02 06
body,1,8000,17 09 05 10 06 15 18 03 13 04 08 20 16 12 11 14 19 02 07 00
number,0,4000,15 02 18 13 16 05 01 09 06 10 12 08 20 07 19 04 11 17 14 03
tool,0,8000,09 20 01 18 04 07 10 17 06 12 05 19 15 02 08 16 14 13 11 03
emoji,0,4000,02 19 15 13 09 12 04 16 05 06 17 18 14 01 20 08 03 10 07 11
face,1,6000,16 09 20 05 14 06 12 10 04 15 17 00 11 18 01 19 07 08 02 13
wordEF,0,4000,11 09 16 10 05 04 13 03 17 01 18 07 20 15 19 12 02 14 08 06
emoji,1,6000,02 10 05 12 11 15 17 06 13 16 01 08 18 20 07 03 00 09 04 19
