cond,hasStar,rest,stim
wordEF,1,6000,15 19 01 18 16 09 12 03 08 11 07 17 06 05 14 20 02 00 13 04
emoji,0,4000,15 04 07 03 18 17 10 19 06 13 20 08 14 01 02 05 16 09 11 12
wordC,1,8000,14 08 04 02 06 03 12 11 18 00 16 13 20 19 17 15 10 09 07 01
emoji,1,8000,06 17 05 13 18 04 01 10 16 00 15 11 09 20 07 02 12 08 03 19
face,0,4000,12 09 07 11 10 06 18 08 02 20 19 05 14 04 13 17 16 01 03 15
body,0,8000,12 09 13 03 05 18 14 07 20 19 10 16 02 01 15 11 06 17 04 08
tool,0,4000,01 04 17 15 05 16 18 09 13 14 20 07 08 12 10 02 06 03 11 19
wordEF,0,4000,04 09 03 14 02 10 01 15 08 11 20 12 16 05 18 06 17 07 13 19
house,0,6000,05 15 06 20 02 09 01 16 14 10 04 13 08 03 07 11 18 12 17 19
emoji,1,6000,07 14 18 05 12 10 17 04 13 20 19 11 00 06 03 15 01 02 16 09
house,1,6000,14 02 08 12 17 07 00 10 18 03 15 06 13 04 05 01 19 11 09 20
wordC,0,4000,18 10 19 05 04 03 07 08 13 02 20 17 06 14 11 12 15 16 09 01
wordEF,0,6000,17 12 08 19 06 09 05 15 16 13 01 02 03 20 07 18 11 10 04 14
house,0,6000,18 20 07 04 01 12 13 08 10 19 16 15 03 05 06 17 11 02 09 14
face,0,6000,13 12 17 08 14 09 01 19 04 18 07 11 15 03 06 20 02 10 05 16
face,0,4000,16 09 01 12 05 17 13 14 02 20 04 15 19 10 06 07 18 08 11 03
number,1,6000,11 16 20 19 15 18 08 03 06 09 01 07 10 14 04 13 17 05 02 00
tool,0,6000,05 18 17 09 01 10 11 20 15 16 07 03 04 06 02 14 08 12 19 13
number,0,4000,15 12 10 09 05 06 20 16 02 13 08 01 19 04 17 03 18 11 14 07
number,1,4000,17 19 05 09 10 06 13 14 12 16 11 18 04 20 02 07 03 08 00 15
house,0,4000,10 01 18 17 08 20 06 19 13 11 07 16 09 14 03 02 04 12 05 15
tool,0,8000,16 08 06 02 12 17 09 07 01 13 15 04 20 10 19 03 05 11 14 18
wordEF,0,4000,19 14 07 11 06 05 02 09 18 03 10 15 17 16 13 20 04 08 12 01
body,1,6000,04 06 20 17 19 11 00 03 14 09 08 02 01 12 10 07 05 16 13 15
body,0,6000,08 15 09 07 11 20 16 13 05 02 10 19 17 06 04 03 14 12 01 18
wordC,0,8000,07 12 11 01 04 09 16 06 02 20 10 13 05 15 18 19 14 08 03 17
body,0,8000,10 08 07 05 03 01 14 12 11 13 06 04 20 19 17 16 02 18 09 15
tool,0,8000,08 19 06 14 16 05 10 02 03 15 18 04 13 01 07 12 17 20 11 09
tool,1,4000,17 20 15 12 19 07 05 10 01 09 08 02 11 04 00 18 06 13 14 16
number,0,8000,11 16 09 18 20 03 01 07 12 02 06 13 08 15 05 04 17 10 14 19
house,1,6000,12 17 18 07 16 20 06 02 03 05 13 11 01 19 15 09 08 14 00 04
wordC,0,6000,08 19 06 10 07 11 02 01 18 03 12 09 04 16 20 05 14 13 15 17
wordC,0,6000,12 14 17 13 06 01 11 20 08 05 10 19 18 15 07 16 09 02 04 03
emoji,0,8000,12 06 03 01 04 09 07 19 16 13 08 18 15 02 17 05 11 10 20 14
number,0,4000,18 01 10 20 02 16 11 09 03 15 04 17 08 19 12 14 05 06 07 13
body,0,8000,14 19 09 01 10 11 03 06 07 02 05 15 04 13 18 08 12 16 20 17
tool,0,4000,08 01 19 13 14 16 02 20 18 04 10 07 17 03 12 15 05 11 09 06
emoji,0,6000,09 10 17 01 19 12 06 11 15 07 04 03 14 20 16 18 08 02 05 13
wordC,1,4000,05 08 13 06 16 03 09 18 07 17 02 11 14 04 15 19 00 12 10 20
face,1,6000,06 03 05 19 11 18 14 07 15 04 09 01 13 12 16 02 17 00 10 08
wordEF,0,4000,07 08 12 14 11 06 13 10 04 01 02 16 15 09 18 05 20 03 19 17
face,0,6000,19 02 04 05 11 09 14 07 01 16 18 20 17 03 15 12 13 08 06 10
face,1,4000,18 15 02 14 06 10 01 11 17 07 13 05 00 03 04 09 12 08 19 20
wordEF,0,8000,17 18 08 07 14 19 16 04 09 13 11 01 03 12 20 06 05 15 02 10
number,1,4000,05 02 18 20 12 06 15 09 17 08 00 04 10 19 11 03 01 13 07 14
emoji,0,4000,01 15 05 20 07 19 14 02 09 04 10 11 06 12 03 18 13 08 17 16
house,1,8000,17 16 12 14 19 20 08 01 02 06 11 04 13 03 05 07 18 00 15 09
body,1,6000,14 10 13 16 18 09 03 12 02 01 11 15 19 05 06 04 20 17 07 00
