cond,hasStar,rest,stim
body,0,6000,06 02 12 16 03 05 14 04 13 19 11 15 01 10 20 08 18 07 09 17
face,0,6000,06 12 10 14 11 04 16 08 05 13 02 15 18 17 01 20 19 03 09 07
body,0,4000,12 13 09 05 11 03 19 20 17 01 10 06 04 16 07 15 08 14 02 18
house,0,6000,09 04 15 17 07 20 03 13 11 05 14 08 01 19 06 18 10 02 12 16
number,0,6000,18 09 20 03 12 06 15 11 17 02 14 16 19 07 04 01 08 10 13 05
wordEF,0,4000,20 18 15 11 14 04 05 12 16 07 19 03 08 01 06 13 09 17 10 02
number,0,4000,19 03 05 11 17 10 18 08 01 16 14 12 20 06 02 04 13 15 07 09
body,1,4000,10 20 17 18 03 01 07 13 16 15 02 00 09 05 14 08 12 06 19 11
face,1,4000,10 09 06 17 01 15 02 05 14 11 13 03 18 07 00 08 16 20 04 12
body,1,8000,01 14 20 19 15 04 16 10 05 12 00 18 09 07 02 08 03 06 17 11
wordC,1,6000,10 16 20 11 01 04 03 02 18 13 08 17 00 19 07 14 06 15 05 12
tool,0,4000,09 20 07 15 10 14 13 18 19 12 17 02 04 01 03 11 05 08 16 06
wordEF,0,4000,02 08 15 10 19 11 14 03 18 07 01 16 17 04 20 13 05 09 06 12
number,0,4000,13 06 17 04 08 01 02 18 16 05 19 20 14 15 10 12 07 03 09 11
house,0,6000,01 15 17 12 09 11 03 06 16 18 08 04 13 05 20 14 07 10 02 19
wordEF,0,4000,15 10 13 18 12 17 01 05 09 16 19 06 20 02 08 07 11 04 14 03
body,1,6000,10 07 04 06 20 02 00 19 11 18 17 15 12 08 03 13 01 05 09 14
tool,0,8000,01 16 20 13 15 14 11 07 02 06 09 19 05 04 08 12 17 03 18 10
face,0,6000,05 17 20 04 09 07 02 15 01 16 06 03 13 11 18 08 12 10 14 19
tool,0,8000,01 02 13 17 12 15 10 05 16 04 07 06 19 08 20 14 03 18 11 09
emoji,1,8000,05 17 03 08 14 15 04 07 18 01 00 20 13 12 10 16 19 02 06 09
house,0,8000,17 16 14 19 12 08 09 15 03 10 02 07 11 18 20 13 04 01 06 05
number,1,4000,08 04 05 19 20 14 10 15 06 01 09 16 00 13 02 07 17 11 03 18
tool,0,8000,12 09 08 10 17 20 01 19 04 15 18 14 03 05 13 06 07 16 11 02
emoji,0,6000,03 17 01 04 20 11 12 18 14 09 10 13 06 05 02 07 19 16 15 08
house,0,4000,12 04 02 01 07 09 20 14 03 10 05 15 18 17 08 19 16 11 13 06
wordEF,0,4000,16 09 02 17 11 08 01 10 03 14 05 12 20 13 19 07 06 18 15 04
face,0,6000,01 17 18 04 10 16 13 03 08 20 19 02 12 14 05 11 15 09 07 06
face,0,4000,16 15 18 12 02 01 05 03 09 08 14 17 07 13 19 10 20 11 04 06
wordC,1,6000,12 11 16 14 08 19 13 15 00 05 07 03 04 02 10 18 09 01 17 06
wordEF,0,6000,04 16 18 10 07 12 20 01 17 02 09 11 05 08 19 06 15 14 03 13
emoji,0,4000,17 19 20 14 08 09 16 06 11 10 18 02 12 03 15 05 01 04 13 07
emoji,1,6000,11 07 17 20 10 13 00 05 01 15 06 12 08 16 09 03 18 19 14 04
house,1,8000,16 05 02 04 08 12 01 09 15 19 17 07 14 10 06 18 20 03 00 11
emoji,0,6000,15 14 03 17 08 20 01 12 06 07 02 09 10 16 05 04 19 13 18 11
number,1,4000,09 16 06 05 12 13 11 01 18 02 14 10 15 08 03 07 19 20 00 04
emoji,0,8000,01 09 17 07 19 03 15 10 14 08 20 11 05 16 06 13 12 02 18 04
wordC,1,8000,01 04 03 19 14 15 16 12 05 08 00 18 06 10 07 20 17 09 02 11
house,0,8000,01 12 09 19 10 18 13 15 04 07 06 17 14 02 11 05 16 20 03 08
tool,0,4000,07 13 10 11 14 06 01 18 17 03 12 16 02 15 19 05 04 20 08 09
tool,0,8000,12 16 06 08 17 03 04 14 09 01 10 15 20 02 13 18 11 19 05 07
wordC,1,4000,19 06 04 18 13 05 11 16 15 07 12 10 14 00 01 02 08 20 17 09
body,0,6000,20 16 14 11 07 09 06 02 17 13 08 01 04 18 10 05 12 15 19 03
wordEF,1,6000,16 02 12 18 06 20 00 15 01 07 13 05 08 03 14 17 11 09 19 04
wordC,1,4000,17 16 20 08 10 15 07 03 14 00 19 18 11 12 01 05 06 02 13 09
face,0,6000,20 15 08 17 11 12 18 13 04 09 16 01 03 07 19 05 06 02 14 10
wordC,0,8000,02 10 13 12 09 06 14 20 19 15 07 04 05 03 08 11 01 17 18 16
number,1,6000,10 16 08 17 09 07 20 01 12 19 13 18 15 05 04 14 03 00 06 11
